Column 1
"I Was Using Google Earth When I Noticed Something Awesome… In Fact, 29 Awesome Things."
Here Are 20 Unbelievable Places You Would Swear Aren’t Real… But They Are.
"This Might Take An Entire Lifetime, But At Least You’ll Know You Lived It To The Fullest. Wow."
"This Is A Strand Of Human Hair, But It’s Got A Mind-Blowing Secret"
This Is How Workers Fix Cracked Or Uneven Concrete With Foam
18 Strange And True Facts About Pregnancy That Will Totally Weird You Out.
These 19 Nightmarish Places Will Keep You Awake At Night… They Sent Chills Down My Spine.
Seeing These Popular Places From Above Is Almost Surreal. #6 Seriously Shocked Me.
12 Totally Bizarre Things You Wouldn’t Expect To Find Under Water
These 14 Psychological Facts Just Might Have You Thinking Differently
"These 20 Facts About You Are Pretty Strange, But Also Fascinating"
These 15 Shocking Facts About Pollution Will Make You Reexamine Your Own Habits
Science Can’t Quite Explain What’s Happening At These 10 Bizarre Tourist Traps
"If You’re Bad At Math, It’s Because You Didn’t Learn These Simple Tricks"
These Locations Are The 9 Most Radioactive Sites In The World
6 Diseases That Could Realistically Be Cured In The Near Future
18 Ways In Which Cold Weather Can Affect Your Body And Mind
10 Strange Things That You Probably Didn’t Know About The Moon
10 Completely Normal Things That Could Totally Kill You
"According To Science, This Is The Best Age To Have Kids…It’s Later Than You Think"
Guess What — Most Of The Stuff We Eat For Breakfast Is Terrible For Empty Stomachs
"Forget What You Know — Oranges Don’t Have A Lot Of Vitamin C, But These Foods Do!"
This Woman’s Incredible Two-Pound Transformation Proves That The Scale Means Nothing
Buzz Aldrin Revealed Something Startling About His Trip To The Moon…
Looking At Your Own Poop Could Actually Keep You From Getting Sick — Here’s Why
Ever Notice How Guys Who Don’t Have Red Hair Grow Reddish Beards? Here’s Why
They Flew Their Drone Over A Lake And What They Saw Is Totally Hypnotizing
Water Bottles Are SO 2016. These Edible Water Bubbles Are The Future!
"He’s Been Paralyzed For A While Now, But He Just Moved His Arm…With His Mind"
"You Adore Your Parents, But Would You Want Three Of Them? Now It Could Happen"
"He Murdered His Daughter In The Name Of God, But Could Epilepsy Have Been To Blame?"
Reported Cancer Rates Are Going Down — Here’s Why That’s A Bad Thing
"Curious About How You’ll Die? Well, It Has A Lot To Do With Where You Live."
Would You Fast Every Other Day To Lose Weight? Some Researchers Say You Should
Watching A Rocket Touch Down Is Unlike Anything You’ve Seen Before
You’ll Be Amazed By This Crazy Invention (And By How Quickly It All Failed)
Need To Choose The Perfect Selfie For Facebook Or Match? Ask A Stranger
